time,y_scalar,y_gain
5.25,-0.8640123165,-1.728024633
5.26,-0.8589344934,-1.717868987
5.27,-0.8537707776,-1.707541555
5.28,-0.8485216855,-1.697043371
5.29,-0.8431877419,-1.686375484
5.3,-0.8377694802,-1.67553896
5.31,-0.8322674422,-1.664534884
5.32,-0.8266821782,-1.653364356
5.33,-0.8210142467,-1.642028493
5.34,-0.8152642144,-1.630528429
5.35,-0.8094326564,-1.618865313
5.36,-0.8035201559,-1.607040312
5.37,-0.7975273039,-1.595054608
5.38,-0.7914546999,-1.5829094
5.39,-0.7853029511,-1.570605902
5.4,-0.7790726726,-1.558145345
5.41,-0.7727644876,-1.545528975
5.42,-0.7663790267,-1.532758053
5.43,-0.7599169285,-1.519833857
5.44,-0.7533788393,-1.506757679
5.45,-0.7467654129,-1.493530826
5.46,-0.7400773105,-1.480154621
5.47,-0.733315201,-1.466630402
5.48,-0.7264797606,-1.452959521
5.49,-0.7195716728,-1.439143346
5.5,-0.7125916285,-1.425183257
5.51,-0.7055403256,-1.411080651
5.52,-0.6984184692,-1.396836938
5.53,-0.6912267716,-1.382453543
5.54,-0.6839659519,-1.367931904
5.55,-0.6766367361,-1.353273472
5.56,-0.6692398573,-1.338479715
5.57,-0.661776055,-1.32355211
5.58,-0.6542460757,-1.308492151
5.59,-0.6466506723,-1.293301345
5.6,-0.6389906043,-1.277981209
5.61,-0.6312666379,-1.262533276
5.62,-0.6234795453,-1.246959091
5.63,-0.6156301053,-1.231260211
5.64,-0.6077191027,-1.215438205
5.65,-0.5997473288,-1.199494658
5.66,-0.5917155806,-1.183431161
5.67,-0.5836246614,-1.167249323
5.68,-0.5754753802,-1.15095076
5.69,-0.5672685519,-1.134537104
5.7,-0.5590049973,-1.118009995
5.71,-0.5506855426,-1.101371085
5.72,-0.5423110198,-1.08462204
5.73,-0.5338822664,-1.067764533
5.74,-0.5254001252,-1.05080025
5.75,-0.5168654444,-1.033730889
5.76,-0.5082790775,-1.016558155
5.77,-0.4996418831,-0.9992837662
5.78,-0.490954725,-0.98190945
5.79,-0.4822184717,-0.9644369434
5.8,-0.4734339971,-0.9468679942
5.81,-0.4646021794,-0.9292043588
5.82,-0.4557239019,-0.9114478038
5.83,-0.4468000524,-0.8936001048
5.84,-0.4378315233,-0.8756630466
5.85,-0.4288192113,-0.8576384226
5.86,-0.4197640178,-0.8395280356
5.87,-0.4106668483,-0.8213336966
5.88,-0.4015286124,-0.8030572248
5.89,-0.392350224,-0.784700448
5.9,-0.3831326009,-0.7662652018
5.91,-0.3738766648,-0.7477533296
5.92,-0.3645833414,-0.7291666828
5.93,-0.35525356,-0.71050712
5.94,-0.3458882535,-0.691776507
5.95,-0.3364883585,-0.672976717
5.96,-0.3270548149,-0.6541096298
5.97,-0.3175885661,-0.6351771322
