time,x,u
2.67,0.242650802,0.1497223824
2.68,0.2417261488,0.1497223824
2.69,0.240810696,0.1497223824
2.7,0.2399043521,0.1497223824
2.71,0.2389843837,0.1474467516
2.72,0.238073569,0.1474467516
2.73,0.2371718171,0.1474467516
2.74,0.2362790378,0.1474467516
2.75,0.2353951418,0.1474467516
2.76,0.2345200407,0.1474467516
2.77,0.233653647,0.1474467516
2.78,0.232795874,0.1474467516
2.79,0.2319466361,0.1474467516
2.8,0.2311058482,0.1474467516
2.81,0.2302524825,0.1453418881
2.82,0.229407608,0.1453418881
2.83,0.2285711401,0.1453418881
2.84,0.2277429952,0.1453418881
2.85,0.2269230905,0.1453418881
2.86,0.226111344,0.1453418881
2.87,0.2253076745,0.1453418881
2.88,0.2245120016,0.1453418881
2.89,0.2237242458,0.1453418881
2.9,0.2229443283,0.1453418881
2.91,0.2221527916,0.1433942318
2.92,0.2213691309,0.1433942318
2.93,0.2205932677,0.1433942318
2.94,0.2198251244,0.1433942318
2.95,0.2190646243,0.1433942318
2.96,0.2183116914,0.1433942318
2.97,0.2175662502,0.1433942318
2.98,0.2168282263,0.1433942318
2.99,0.2160975458,0.1433942318
3,0.2153741357,0.1433942318
3.01,0.2146399863,0.1415915042
3.02,0.2139131418,0.1415915042
3.03,0.2131935295,0.1415915042
3.04,0.2124810774,0.1415915042
3.05,0.2117757144,0.1415915042
3.06,0.2110773698,0.1415915042
3.07,0.2103859739,0.1415915042
3.08,0.2097014575,0.1415915042
3.09,0.2090237521,0.1415915042
3.1,0.20835279,0.1415915042
3.11,0.2076718966,0.1399224252
3.12,0.2069977781,0.1399224252
3.13,0.2063303671,0.1399224252
3.14,0.2056695971,0.1399224252
3.15,0.2050154018,0.1399224252
3.16,0.2043677159,0.1399224252
3.17,0.2037264745,0.1399224252
3.18,0.2030916136,0.1399224252
3.19,0.2024630697,0.1399224252
3.2,0.2018407799,0.1399224252
3.21,0.2012093023,0.1383767575
3.22,0.200584108,0.1383767575
3.23,0.1999651346,0.1383767575
3.24,0.19935232,0.1383767575
3.25,0.198745603,0.1383767575
3.26,0.1981449229,0.1383767575
3.27,0.1975502198,0.1383767575
3.28,0.196961434,0.1383767575
3.29,0.1963785067,0.1383767575
3.3,0.1958013796,0.1383767575
3.31,0.1952157496,0.1369450688
3.32,0.1946359466,0.1369450688
3.33,0.1940619128,0.1369450688
3.34,0.1934935907,0.1369450688
3.35,0.1929309235,0.1369450688
3.36,0.192373855,0.1369450688
3.37,0.1918223293,0.1369450688
3.38,0.1912762915,0.1369450688
3.39,0.1907356868,0.1369450688
3.4,0.1902004612,0.1369450688
3.41,0.1896573635,0.1356186867
3.42,0.1891196696,0.1356186867
3.43,0.188587326,0.1356186867
3.44,0.1880602792,0.1356186867
3.45,0.1875384766,0.1356186867
3.46,0.1870218661,0.1356186867
3.47,0.1865103959,0.1356186867
3.48,0.1860040149,0.1356186867
3.49,0.1855026725,0.1356186867
3.5,0.1850063186,0.1356186867
3.51,0.1845026753,0.1343897432
3.52,0.1840040433,0.1343897432
3.53,0.1835103727,0.1343897432
3.54,0.1830216143,0.1343897432
3.55,0.1825377191,0.1343897432
3.56,0.1820586387,0.1343897432
3.57,0.1815843253,0.1343897432
3.58,0.1811147314,0.1343897432
3.59,0.18064981,0.1343897432
3.6,0.1801895146,0.1343897432
3.61,0.1797224674,0.1332508773
3.62,0.1792600673,0.1332508773
