time,amp_i,speed_w_rel
5.68,3.393170689,181.0626904
5.69,3.384258081,181.2140117
5.7,3.375372366,181.364873
5.71,3.366513465,181.5152756
5.72,3.357681301,181.6652209
5.73,3.348875796,181.8147103
5.74,3.340096873,181.9637451
5.75,3.331344455,182.1123268
5.76,3.322618465,182.2604567
5.77,3.313918828,182.4081362
5.78,3.305245465,182.5553666
5.79,3.296598301,182.7021492
5.8,3.287977259,182.8484856
5.81,3.279382264,182.9943769
5.82,3.27081324,183.1398245
5.83,3.262270111,183.2848298
5.84,3.253752801,183.4293941
5.85,3.245261235,183.5735188
5.86,3.236795339,183.7172051
5.87,3.228355037,183.8604545
5.88,3.219940254,184.0032681
5.89,3.211550916,184.1456474
5.9,3.203186948,184.2875937
5.91,3.194848276,184.4291082
5.92,3.186534827,184.5701922
5.93,3.178246525,184.7108472
5.94,3.169983297,184.8510743
5.95,3.16174507,184.9908749
5.96,3.15353177,185.1302502
5.97,3.145343325,185.2692016
5.98,3.13717966,185.4077303
5.99,3.129040704,185.5458376
6,3.120926383,185.6835247
6.01,3.112836626,185.8207931
6.02,3.104771359,185.9576438
6.03,3.09673051,186.0940782
6.04,3.088714008,186.2300976
6.05,3.080721781,186.3657032
6.06,3.072753757,186.5008962
6.07,3.064809865,186.6356779
6.08,3.056890034,186.7700496
6.09,3.048994192,186.9040125
6.1,3.041122268,187.0375678
6.11,3.033274192,187.1707167
6.12,3.025449894,187.3034606
6.13,3.017649303,187.4358006
6.14,3.009872348,187.5677379
6.15,3.00211896,187.6992738
6.16,2.994389069,187.8304095
6.17,2.986682606,187.9611462
6.18,2.9789995,188.0914851
6.19,2.971339683,188.2214274
6.2,2.963703086,188.3509743
6.21,2.956089639,188.480127
6.22,2.948499274,188.6088868
6.23,2.940931923,188.7372547
6.24,2.933387516,188.865232
6.25,2.925865986,188.9928199
6.26,2.918367265,189.1200196
6.27,2.910891284,189.2468322
6.28,2.903437977,189.3732589
6.29,2.896007276,189.4993009
6.3,2.888599113,189.6249593
6.31,2.881213421,189.7502353
6.32,2.873850134,189.8751301
6.33,2.866509184,189.9996448
6.34,2.859190505,190.1237806
6.35,2.851894031,190.2475386
6.36,2.844619695,190.37092
6.37,2.837367432,190.4939259
6.38,2.830137175,190.6165575
6.39,2.822928859,190.7388158
6.4,2.815742418,190.8607021
6.41,2.808577787,190.9822175
6.42,2.801434901,191.103363
6.43,2.794313694,191.2241398
6.44,2.787214103,191.344549
6.45,2.780136061,191.4645918
6.46,2.773079506,191.5842692
6.47,2.766044372,191.7035824
6.48,2.759030596,191.8225324
6.49,2.752038113,191.9411205
6.5,2.74506686,192.0593475
6.51,2.738116773,192.1772148
6.52,2.731187789,192.2947233
6.53,2.724279845,192.4118741
6.54,2.717392877,192.5286684
6.55,2.710526823,192.6451071
6.56,2.70368162,192.7611915
6.57,2.696857205,192.8769226
6.58,2.690053517,192.9923014
6.59,2.683270492,193.1073289
6.6,2.67650807,193.2220064
6.61,2.669766187,193.3363348
6.62,2.663044783,193.4503153
6.63,2.656343796,193.5639487
6.64,2.649663164,193.6772363
6.65,2.643002827,193.7901791
6.66,2.636362723,193.9027781
6.67,2.629742793,194.0150343
6.68,2.623142974,194.1269488
6.69,2.616563207,194.2385227
6.7,2.610003431,194.3497569
6.71,2.603463587,194.4606526
6.72,2.596943614,194.5712106
6.73,2.590443452,194.6814321
6.74,2.583963042,194.7913182
6.75,2.577502325,194.9008697
6.76,2.571061241,195.0100877
6.77,2.564639732,195.1189732
6.78,2.558237737,195.2275273
6.79,2.551855199,195.335751
6.8,2.545492059,195.4436452
6.81,2.539148258,195.5512109
6.82,2.532823738,195.6584492
6.83,2.526518441,195.7653611
6.84,2.52023231,195.8719475
6.85,2.513965286,195.9782094
6.86,2.507717312,196.0841478
6.87,2.50148833,196.1897637
6.88,2.495278283,196.2950581
6.89,2.489087114,196.400032
6.9,2.482914767,196.5046863
6.91,2.476761183,196.609022
6.92,2.470626307,196.7130401
6.93,2.464510083,196.8167415
6.94,2.458412453,196.9201272
6.95,2.452333363,197.0231982
6.96,2.446272755,197.1259553
6.97,2.440230574,197.2283997
6.98,2.434206765,197.3305322
6.99,2.428201272,197.4323537
7,2.42221404,197.5338653
7.01,2.416245013,197.6350678
7.02,2.410294136,197.7359622
7.03,2.404361356,197.8365495
7.04,2.398446616,197.9368305
7.05,2.392549863,198.0368062
7.06,2.386671042,198.1364775
7.07,2.3808101,198.2358454
7.08,2.374966981,198.3349108
7.09,2.369141632,198.4336746
7.1,2.363334,198.5321377
7.11,2.35754403,198.630301
7.12,2.35177167,198.7281655
7.13,2.346016866,198.825732
7.14,2.340279565,198.9230014
7.15,2.334559714,199.0199748
7.16,2.32885726,199.1166528
7.17,2.323172151,199.2130366
7.18,2.317504335,199.3091269
7.19,2.311853758,199.4049246
7.2,2.306220369,199.5004307
7.21,2.300604116,199.595646
7.22,2.295004946,199.6905714
7.23,2.289422809,199.7852078
7.24,2.283857652,199.8795561
7.25,2.278309425,199.9736171
7.26,2.272778076,200.0673917
7.27,2.267263553,200.1608808
7.28,2.261765806,200.2540853
7.29,2.256284784,200.347006
7.3,2.250820437,200.4396438
7.31,2.245372714,200.5319995
7.32,2.239941564,200.6240741
7.33,2.234526938,200.7158683
7.34,2.229128784,200.807383
7.35,2.223747055,200.8986191
7.36,2.218381699,200.9895774
7.37,2.213032667,201.0802588
7.38,2.207699909,201.170664
7.39,2.202383377,201.260794
7.4,2.197083021,201.3506496
7.41,2.191798792,201.4402316
7.42,2.186530641,201.5295409
7.43,2.18127852,201.6185782
7.44,2.176042379,201.7073444
7.45,2.170822171,201.7958404
7.46,2.165617847,201.8840669
7.47,2.160429359,201.9720247
7.48,2.155256659,202.0597148
7.49,2.150099698,202.1471379
7.5,2.14495843,202.2342947
7.51,2.139832807,202.3211862
7.52,2.134722781,202.4078132
7.53,2.129628305,202.4941763
7.54,2.124549332,202.5802766
7.55,2.119485815,202.6661146
7.56,2.114437706,202.7516913
7.57,2.109404959,202.8370074
7.58,2.104387529,202.9220638
7.59,2.099385367,203.0068612
7.6,2.094398428,203.0914004
7.61,2.089426665,203.1756821
7.62,2.084470033,203.2597073
7.63,2.079528485,203.3434766
7.64,2.074601976,203.4269908
7.65,2.069690461,203.5102508
7.66,2.064793893,203.5932572
7.67,2.059912227,203.6760109
7.68,2.055045418,203.7585126
7.69,2.050193421,203.8407631
7.7,2.045356192,203.9227632
7.71,2.040533684,204.0045136
7.72,2.035725854,204.086015
7.73,2.030932656,204.1672683
7.74,2.026154048,204.2482742
7.75,2.021389983,204.3290334
7.76,2.016640418,204.4095468
7.77,2.011905309,204.489815
7.78,2.007184613,204.5698387
7.79,2.002478284,204.6496188
7.8,1.997786281,204.729156
7.81,1.993108558,204.808451
7.82,1.988445073,204.8875045
7.83,1.983795783,204.9663174
7.84,1.979160644,205.0448902
7.85,1.974539614,205.1232238
7.86,1.96993265,205.2013189
7.87,1.965339708,205.2791762
7.88,1.960760746,205.3567964
7.89,1.956195722,205.4341803
7.9,1.951644594,205.5113285
7.91,1.947107319,205.5882418
7.92,1.942583855,205.664921
7.93,1.938074161,205.7413666
7.94,1.933578193,205.8175795
7.95,1.929095912,205.8935603
7.96,1.924627274,205.9693097
7.97,1.920172239,206.0448285
7.98,1.915730765,206.1201173
7.99,1.911302812,206.1951769
8,1.906888337,206.2700079
8.01,1.9024873,206.3446111
8.02,1.898099661,206.4189871
8.03,1.893725378,206.4931366
8.04,1.88936441,206.5670604
8.05,1.885016719,206.640759
8.06,1.880682262,206.7142332
8.07,1.876361,206.7874837
8.08,1.872052893,206.8605112
8.09,1.8677579,206.9333163
8.1,1.863475983,207.0058997
8.11,1.8592071,207.078262
8.12,1.854951213,207.1504041
8.13,1.850708282,207.2223264
8.14,1.846478267,207.2940298
8.15,1.84226113,207.3655148
8.16,1.838056831,207.4367821
8.17,1.833865331,207.5078325
8.18,1.829686592,207.5786664
8.19,1.825520573,207.6492847
8.2,1.821367238,207.719688
8.21,1.817226547,207.7898769
8.22,1.813098461,207.859852
8.23,1.808982943,207.9296141
8.24,1.804879954,207.9991637
8.25,1.800789457,208.0685016
8.26,1.796711412,208.1376283
8.27,1.792645783,208.2065445
8.28,1.788592531,208.2752509
8.29,1.784551619,208.3437481
8.3,1.780523009,208.4120367
8.31,1.776506664,208.4801173
8.32,1.772502547,208.5479906
8.33,1.768510621,208.6156573
8.34,1.764530847,208.6831179
8.35,1.76056319,208.7503731
