time,x
7.88,0.1756605402
7.89,0.1928451173
7.9,0.2100244501
7.91,0.2271968151
7.92,0.2443604884
7.93,0.2615137453
7.94,0.278654861
7.95,0.2957821104
7.96,0.3128937686
7.97,0.3299881108
7.98,0.3470634126
7.99,0.3641179503
8,0.3811500009
8.01,0.3981578424
8.02,0.4151397538
8.03,0.4320940155
8.04,0.4490189095
8.05,0.4659127192
8.06,0.48277373
8.07,0.4996002294
8.08,0.516390507
8.09,0.5331428549
8.1,0.5498555676
8.11,0.5665269425
8.12,0.5831552799
8.13,0.5997388831
8.14,0.6162760588
8.15,0.6327651172
8.16,0.649204372
8.17,0.6655921408
8.18,0.6819267454
8.19,0.6982065113
8.2,0.7144297688
8.21,0.7305948526
8.22,0.7467001019
8.23,0.7627438612
8.24,0.7787244796
8.25,0.7946403118
8.26,0.8104897178
8.27,0.826271063
8.28,0.8419827188
8.29,0.8576230625
8.3,0.8731904773
8.31,0.8886833529
8.32,0.9041000854
8.33,0.9194390774
8.34,0.9346987384
8.35,0.9498774849
8.36,0.9649737403
8.37,0.9799859356
8.38,0.994912509
8.39,1.009751907
8.4,1.024502582
8.41,1.039162997
8.42,1.053731621
8.43,1.068206933
8.44,1.082587418
8.45,1.096871573
8.46,1.111057901
8.47,1.125144915
8.48,1.139131138
8.49,1.153015099
8.5,1.16679534
8.51,1.180470412
8.52,1.194038874
8.53,1.207499295
8.54,1.220850257
8.55,1.234090348
8.56,1.24721817
8.57,1.260232333
8.58,1.273131458
8.59,1.285914179
8.6,1.298579138
8.61,1.31112499
8.62,1.3235504
8.63,1.335854046
8.64,1.348034615
8.65,1.360090808
8.66,1.372021337
8.67,1.383824926
8.68,1.395500311
8.69,1.407046239
8.7,1.418461473
8.71,1.429744784
8.72,1.440894958
8.73,1.451910794
8.74,1.462791104
8.75,1.47353471
8.76,1.484140452
8.77,1.49460718
8.78,1.504933758
8.79,1.515119064
8.8,1.525161989
8.81,1.535061438
8.82,1.544816331
8.83,1.554425601
8.84,1.563888194
8.85,1.573203072
8.86,1.582369212
8.87,1.591385603
8.88,1.60025125
8.89,1.608965173
8.9,1.617526407
8.91,1.625934
8.92,1.634187018
8.93,1.642284539
8.94,1.650225658
8.95,1.658009486
8.96,1.665635148
8.97,1.673101785
8.98,1.680408553
8.99,1.687554625
9,1.69453919
9.01,1.701361451
9.02,1.708020629
9.03,1.714515959
9.04,1.720846695
9.05,1.727012105
9.06,1.733011473
9.07,1.738844102
9.08,1.744509309
9.09,1.750006429
9.1,1.755334813
9.11,1.760493829
9.12,1.765482862
9.13,1.770301314
9.14,1.774948602
9.15,1.779424164
9.16,1.783727451
9.17,1.787857933
9.18,1.791815098
9.19,1.79559845
9.2,1.799207511
9.21,1.80264182
9.22,1.805900933
9.23,1.808984425
9.24,1.811891888
9.25,1.81462293
9.26,1.817177179
9.27,1.819554279
9.28,1.821753893
9.29,1.823775701
9.3,1.825619401
9.31,1.82728471
9.32,1.82877136
9.33,1.830079105
9.34,1.831207713
9.35,1.832156973
9.36,1.83292669
9.37,1.833516689
9.38,1.833926811
9.39,1.834156917
9.4,1.834206886
9.41,1.834076613
9.42,1.833766014
9.43,1.833275022
9.44,1.832603587
9.45,1.83175168
9.46,1.830719288
9.47,1.829506417
9.48,1.828113091
9.49,1.826539353
9.5,1.824785264
9.51,1.822850902
9.52,1.820736366
9.53,1.81844177
9.54,1.81596725
9.55,1.813312956
9.56,1.81047906
9.57,1.807465751
9.58,1.804273235
9.59,1.800901738
9.6,1.797351503
9.61,1.793622792
9.62,1.789715884
9.63,1.785631079
9.64,1.781368691
9.65,1.776929056
9.66,1.772312526
9.67,1.767519471
9.68,1.76255028
9.69,1.757405359
9.7,1.752085133
9.71,1.746590044
9.72,1.740920552
9.73,1.735077136
9.74,1.729060292
9.75,1.722870534
9.76,1.716508392
9.77,1.709974417
9.78,1.703269175
9.79,1.69639325
9.8,1.689347245
9.81,1.682131778
9.82,1.674747488
9.83,1.667195027
9.84,1.659475067
9.85,1.651588298
9.86,1.643535425
9.87,1.635317171
9.88,1.626934276
9.89,1.618387498
9.9,1.60967761
9.91,1.600805404
9.92,1.591771687
9.93,1.582577282
9.94,1.573223032
9.95,1.563709794
9.96,1.554038441
9.97,1.544209864
9.98,1.534224969
9.99,1.524084679
10,1.513789934
